"sku","national_inv","lead_time","in_transit_qty","forecast_3_month","forecast_6_month","forecast_9_month","sales_1_month","sales_3_month","sales_6_month","sales_9_month","min_bank","potential_issue","pieces_past_due","perf_6_month_avg","perf_12_month_avg","local_bo_qty","deck_risk","oe_constraint","ppap_risk","stop_auto_buy","rev_stop","went_on_backorder"
1888279,117,NA,0,0,0,0,0,0,15,15,1,"No",0,-99,-99,0,"No","No","Yes","Yes","No","No"
1870557,7,2,0,0,0,0,0,0,0,0,0,"No",0,0.5,0.28,0,"Yes","No","No","Yes","No","No"
1475481,258,15,10,10,77,184,46,132,256,365,47,"No",0,0.54,0.7,0,"No","No","No","Yes","No","No"
1758220,46,2,0,0,0,0,1,2,6,9,1,"No",0,0.75,0.9,0,"Yes","No","No","Yes","No","No"
1360312,2,2,0,4,6,10,2,2,5,6,0,"No",0,0.97,0.92,0,"No","No","No","Yes","No","No"
3002608,297,12,0,0,0,0,5,6,44,57,3,"No",0,0.58,0.75,0,"Yes","No","No","Yes","No","No"
1707693,3285,8,0,0,0,0,18,81,162,304,37,"No",0,0.61,0.57,0,"No","No","No","Yes","No","No"
2066128,6,2,0,0,3,9,1,5,8,13,0,"No",0,0.86,0.77,0,"No","No","No","Yes","No","Yes"
3174990,99,8,0,46,169,225,2,22,176,263,21,"No",0,0.11,0.37,0,"No","No","No","Yes","No","No"
3021709,52,2,0,0,0,0,0,0,0,0,0,"No",0,0.83,0.69,0,"No","No","No","Yes","No","No"
3104894,51,NA,0,0,0,0,0,0,0,0,0,"No",0,-99,-99,0,"No","No","No","Yes","No","No"
1960152,0,12,0,8,11,17,0,3,10,13,1,"No",0,0.78,0.78,0,"No","No","No","Yes","No","Yes"
3011283,1782,8,562,4687,8047,12079,2019,5486,10109,14569,316,"No",0,0.85,0.85,0,"No","No","Yes","Yes","No","No"
2231740,2,8,0,0,0,0,0,0,0,0,1,"No",0,0.79,0.79,0,"No","No","No","Yes","No","No"
1559858,5,8,0,0,0,0,0,0,0,1,1,"No",0,0.1,0.13,0,"No","No","No","Yes","No","No"
1453996,17,8,0,6,24,36,6,11,26,42,0,"No",0,1,0.96,0,"No","No","No","Yes","No","No"
1792717,17,15,11,498,666,882,66,226,481,792,58,"No",0,0.05,0.08,32,"No","No","No","Yes","No","No"
1255045,5,2,0,10,30,60,8,31,75,110,0,"No",0,1,0.99,0,"No","No","No","Yes","No","Yes"
1180609,-1,9,0,9,11,13,1,9,11,12,0,"No",0,0.85,0.83,1,"Yes","No","No","No","No","Yes"
1862464,12,9,0,0,0,0,0,0,0,0,0,"No",0,0.99,0.96,0,"No","No","No","Yes","No","No"
3214039,5691,8,812,1883,6332,11297,181,5878,13709,15561,694,"No",0,1,0.99,0,"No","No","No","Yes","No","No"
1513222,4,4,0,0,0,0,0,0,0,0,0,"No",0,0.73,0.78,0,"Yes","No","No","Yes","No","No"
1779453,2,2,0,3,6,12,3,5,16,18,0,"No",0,0.98,0.97,0,"No","No","No","Yes","No","Yes"
3172237,2,10,0,0,0,0,0,0,0,0,0,"No",0,0.89,0.9,0,"No","No","Yes","Yes","No","No"
1460192,0,2,0,10,12,12,0,0,0,0,0,"No",0,0.23,0.26,0,"Yes","No","Yes","Yes","No","Yes"
1298280,54,NA,0,0,0,0,0,0,0,0,0,"No",0,-99,-99,0,"No","No","No","Yes","No","No"
2931231,12,8,0,8,16,24,2,10,23,34,1,"No",0,0.96,0.91,0,"No","No","No","Yes","No","No"
2258214,0,8,0,0,0,0,0,0,0,0,0,"No",0,1,0.91,0,"No","No","No","Yes","No","No"
2289159,4,9,0,0,0,2,2,3,4,5,0,"No",0,0.7,0.66,0,"No","No","Yes","Yes","No","No"
1493695,27,8,1,56,88,128,17,41,84,125,16,"No",7,0.79,0.66,0,"No","No","No","Yes","No","No"
3065513,460,16,0,2842,3342,4746,1101,2100,4102,5676,0,"No",0,0.96,0.96,0,"No","No","No","Yes","No","No"
1755011,114,8,0,0,0,0,0,8,10,12,1,"No",0,-99,-99,0,"Yes","No","Yes","Yes","No","No"
3178260,748,8,0,700,700,700,0,0,0,0,0,"No",0,0.98,0.95,0,"No","No","No","Yes","No","No"
2058953,0,2,0,1,1,1,1,2,2,2,0,"No",0,0.8,0.82,0,"Yes","No","No","Yes","No","Yes"
2864399,2492,2,40,0,0,0,48,132,269,459,37,"No",0,-99,0.99,0,"No","No","Yes","No","No","No"
1346632,4,2,0,0,0,0,0,0,0,0,0,"No",0,0.96,0.94,0,"No","No","No","Yes","No","No"
1236911,219,8,0,1341,2181,2811,346,794,1450,2304,328,"No",70,0.06,0.13,0,"No","No","No","Yes","No","Yes"
1853239,15,2,0,0,0,0,0,3,8,9,1,"No",0,0.9,0.94,0,"Yes","No","No","Yes","No","No"
1883347,0,12,0,2,2,2,0,0,0,0,0,"No",0,0.63,0.72,0,"Yes","No","No","Yes","No","No"
2876754,13,12,0,0,0,0,0,0,0,0,1,"No",0,0.48,0.48,0,"Yes","No","No","Yes","No","No"
2036426,127,NA,0,0,0,0,0,0,0,1,2,"No",0,-99,-99,0,"No","No","Yes","Yes","No","No"
1820913,7,8,0,0,0,0,0,1,1,2,0,"No",0,0,0,0,"No","No","Yes","Yes","No","No"
1449419,0,9,3,2,4,5,2,4,4,5,0,"No",0,0.91,0.77,0,"No","No","No","Yes","No","No"
1312888,83,8,9,287,525,756,84,267,501,753,65,"No",18,0.79,0.66,0,"No","No","No","Yes","No","Yes"
1986710,6,8,0,0,0,0,2,4,5,8,0,"No",0,0.96,0.92,0,"No","No","No","Yes","No","No"
1602953,73,2,24,92,236,344,21,101,217,346,25,"No",0,0.95,0.95,0,"No","No","No","Yes","No","No"
3156440,51,8,0,0,0,0,0,0,1,2,1,"No",0,0,0,0,"No","No","No","Yes","No","No"
1770053,2,8,0,0,0,0,0,0,0,0,1,"No",0,0.96,0.97,0,"Yes","No","Yes","Yes","No","No"
1759984,1,52,0,263,1363,1363,16,58,107,161,45,"No",0,0.07,0.2,0,"No","No","No","No","No","Yes"
1296493,12,9,0,0,0,0,0,0,0,0,0,"No",0,0.85,0.83,0,"No","No","No","Yes","No","No"
2151728,18,8,0,0,0,0,0,0,0,0,0,"No",0,0.7,0.74,0,"No","No","No","Yes","No","No"
3179683,12,2,0,0,0,0,0,0,0,0,0,"No",0,0.78,0.75,0,"No","No","Yes","Yes","No","No"
2154618,1,8,0,1,1,1,0,0,1,1,1,"No",0,0.83,0.85,0,"No","No","Yes","Yes","No","No"
2152149,20,12,0,0,0,0,0,0,0,0,1,"No",0,0.48,0.48,0,"Yes","No","No","Yes","No","No"
1920822,0,8,0,3,3,4,1,1,1,1,0,"No",0,0,0,0,"Yes","No","No","Yes","No","Yes"
1136697,179,8,0,0,0,0,0,1,5,6,3,"No",0,-99,-99,0,"No","No","No","Yes","No","No"
3254616,14,2,0,2,10,10,1,9,16,22,2,"No",0,1,0.8,0,"No","No","No","Yes","No","No"
3226145,15,12,0,0,0,0,0,0,0,0,1,"No",0,0.48,0.48,0,"Yes","No","No","Yes","No","No"
1208110,66,2,5,90,150,210,29,87,138,188,37,"No",0,0.97,0.99,0,"No","No","No","Yes","No","No"
1436007,24,NA,0,0,0,0,0,2,13,16,0,"No",0,-99,-99,0,"Yes","No","No","Yes","No","No"
1514964,19,8,0,0,8,12,2,5,10,23,4,"No",0,0.88,0.89,0,"No","No","No","Yes","No","No"
2295243,40,4,0,0,0,0,360,850,1630,2520,0,"No",0,0.73,0.78,0,"No","No","No","Yes","No","No"
1653596,6,2,0,0,0,0,0,0,4,5,1,"No",0,0.62,0.36,0,"Yes","No","Yes","Yes","No","No"
1821819,0,8,0,51,59,59,0,0,0,0,0,"No",0,0.86,0.94,0,"No","No","No","Yes","No","No"
1796254,1474,10,0,0,0,0,200,480,800,880,386,"No",0,0.8,0.77,0,"No","No","No","Yes","No","No"
1442061,6,12,0,0,0,0,0,0,0,0,0,"No",0,0.78,0.78,0,"Yes","No","No","Yes","No","No"
3060252,8,12,0,0,0,0,0,0,1,2,0,"No",0,0.57,0.68,0,"No","No","No","Yes","No","No"
1410120,0,9,0,5,7,9,0,2,5,7,0,"No",0,0.91,0.77,0,"Yes","No","No","Yes","No","Yes"
1241750,3,8,0,0,8,8,0,1,2,4,0,"No",0,0.96,0.93,0,"No","No","No","Yes","No","No"
2063016,11,9,0,0,0,0,0,0,0,0,0,"No",0,0.91,0.77,0,"Yes","No","No","Yes","No","No"
3063566,725,2,0,0,0,0,1,2,3,5,2,"No",0,0.54,0.71,0,"No","No","Yes","Yes","No","No"
1620785,4985,52,0,0,0,0,0,0,0,0,0,"No",0,0.95,0.86,0,"Yes","No","No","No","No","No"
1135641,49,2,0,0,0,0,0,0,0,0,0,"No",0,0.55,0.65,0,"No","No","No","Yes","No","No"
1823695,7,2,0,0,0,0,2,4,9,9,0,"No",0,0.53,0.54,0,"Yes","No","No","Yes","No","Yes"
2231277,0,2,0,6,6,6,0,0,0,0,0,"No",0,0.64,0.61,0,"Yes","No","No","Yes","No","No"
1707795,64,8,24,97,185,273,32,111,210,362,41,"No",0,1,0.96,0,"No","No","No","Yes","No","No"
2850861,40,8,0,0,0,0,0,0,0,0,0,"No",0,0.82,0.81,0,"No","No","No","Yes","No","No"
1337581,162,NA,0,0,0,0,1,4,15,17,4,"No",0,-99,-99,0,"No","No","No","No","No","No"
2826162,16,8,5,5,21,29,5,14,28,46,0,"No",0,0.96,0.96,0,"No","No","No","Yes","No","No"
1892985,6,8,0,0,0,0,0,0,0,0,0,"No",0,0.81,0.85,0,"No","No","No","Yes","No","No"
2940768,0,2,0,11,11,11,0,0,0,0,1,"No",11,0,0,0,"Yes","No","No","Yes","No","No"
1340715,4,8,0,0,0,0,0,1,1,1,0,"No",0,0.99,0.99,0,"No","No","No","Yes","No","No"
3093491,2446,8,0,0,0,0,0,0,20,21,2,"No",0,0.99,0.99,0,"No","No","Yes","Yes","No","No"
2912064,96,12,0,0,0,0,0,0,0,0,0,"No",0,0.94,0.87,0,"No","No","No","Yes","No","No"
2214657,41,4,0,20,41,55,6,27,68,105,0,"No",0,0.73,0.78,0,"No","No","No","Yes","No","No"
1145525,43,8,10,21,39,66,12,24,50,103,17,"No",0,0.96,0.89,0,"No","No","No","Yes","No","No"
1448479,197,2,0,0,0,0,0,3,7,12,1,"No",0,0.83,0.9,0,"No","No","No","Yes","No","No"
3159614,20,12,0,0,0,0,0,2,7,10,0,"No",0,0.73,0.79,0,"No","No","No","Yes","No","No"
1741413,197,8,0,0,0,0,3,8,17,30,79,"No",0,-99,0,0,"No","No","No","Yes","No","No"
1366350,4,0,0,0,0,0,0,0,0,1,2,"No",0,0,0,0,"No","No","No","No","No","No"
2969008,45,8,0,0,0,0,0,0,0,0,0,"No",0,0,0,0,"No","No","No","Yes","No","No"
1763044,0,15,0,0,0,0,0,0,0,0,0,"No",0,0.78,0.74,0,"No","No","Yes","Yes","No","No"
2120357,-1,8,0,50,50,50,2,3,17,29,0,"No",0,0.83,0.86,1,"No","No","No","Yes","No","No"
1633765,248,8,0,0,0,0,0,0,2,6,0,"No",0,0.72,0.74,0,"No","No","No","Yes","No","No"
2231936,148,2,7,139,342,537,27,129,324,500,99,"No",0,0.66,0.67,0,"No","No","No","Yes","No","No"
1553144,8,9,0,0,0,0,0,2,2,3,0,"No",0,0.86,0.84,0,"Yes","No","No","Yes","No","No"
