id;external_id;product_code;name;description;category_id;unit_price;weight;volume;is_fragile;stock_quantity;product_status;warehouse_id;created_at;updated_at;created_by;notes
1;1360;PROD_1360;"Smart watch Tôi";"Smart watch";158;328.00;0.050;0.001;0;0;2;NULL;"2025-08-11 10:23:12";"2025-08-29 04:01:37";NULL;NULL
2;365;PROD_365;"Perfect Fitness Perfect Rip Deck";"Perfect Fitness Perfect Rip Deck";159;60.00;2.500;0.020;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:08";NULL;NULL
3;627;PROD_627;"Under Armour Girls' Toddler Spine Surge Runni";"Under Armour Girls' Toddler Spine Surge Runni";160;40.00;0.600;0.004;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
4;502;PROD_502;"Nike Men's Dri-FIT Victory Golf Polo";"Nike Men's Dri-FIT Victory Golf Polo";161;50.00;0.300;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
5;278;PROD_278;"Under Armour Men's Compression EV SL Slide";"Under Armour Men's Compression EV SL Slide";162;45.00;0.400;0.003;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
6;249;PROD_249;"Under Armour Women's Micro G Skulpt Running S";"Under Armour Women's Micro G Skulpt Running S";163;55.00;0.500;0.003;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
7;191;PROD_191;"Nike Men's Free 5.0+ Running Shoe";"Nike Men's Free 5.0+ Running Shoe";164;100.00;0.800;0.005;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
8;917;PROD_917;"Glove It Women's Mod Oval 3-Zip Carry All Gol";"Glove It Women's Mod Oval 3-Zip Carry All Gol";165;22.00;0.200;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
9;828;PROD_828;"Bridgestone e6 Straight Distance NFL San Dieg";"Bridgestone e6 Straight Distance NFL San Dieg";166;32.00;0.500;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
10;642;PROD_642;"Columbia Men's PFG Anchor Tough T-Shirt";"Columbia Men's PFG Anchor Tough T-Shirt";160;30.00;0.250;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
11;818;PROD_818;"Titleist Pro V1x Golf Balls";"Titleist Pro V1x Golf Balls";166;48.00;0.500;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
12;825;PROD_825;"Bridgestone e6 Straight Distance NFL Tennesse";"Bridgestone e6 Straight Distance NFL Tennesse";166;32.00;0.500;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
13;306;PROD_306;"Polar FT4 Heart Rate Monitor";"Polar FT4 Heart Rate Monitor";167;90.00;0.070;0.001;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
14;977;PROD_977;"ENO Atlas Hammock Straps";"ENO Atlas Hammock Straps";168;30.00;0.400;0.002;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
15;44;PROD_44;"adidas Men's F10 Messi TRX FG Soccer Cleat";"adidas Men's F10 Messi TRX FG Soccer Cleat";169;60.00;0.800;0.005;0;0;1;NULL;"2025-08-11 10:23:12";"2025-08-19 14:23:20";NULL;NULL
