2025-08-21 11:48:52,653 - INFO - 🛡️  === ULTRA-STABLE SHIPPING FEE CALCULATOR v3.0 ===
2025-08-21 11:48:52,653 - INFO - Mode: TEST
2025-08-21 11:48:52,653 - INFO - Ultra-conservative settings:
2025-08-21 11:48:52,653 - INFO -   - Batch size: 100
2025-08-21 11:48:52,653 - INFO -   - Chunk size: 1000
2025-08-21 11:48:52,653 - INFO -   - Connection check: every 100 records
2025-08-21 11:48:53,137 - INFO - ✅ Initial database connection successful
2025-08-21 11:48:56,228 - INFO - ✅ Backup created: *_backup_20250821_114853
2025-08-21 11:48:56,228 - INFO - 🔄 Starting ultra-stable processing...
2025-08-21 11:48:57,146 - INFO - Item 5: 3,000.00 VNĐ
2025-08-21 11:48:57,146 - INFO - Item 6: 3,000.00 VNĐ
2025-08-21 11:48:57,146 - INFO - Item 6: 5,400.00 VNĐ
2025-08-21 11:48:57,146 - INFO - Item 6: 5,400.00 VNĐ
2025-08-21 11:48:57,146 - INFO - Item 7: 3,000.00 VNĐ
2025-08-21 11:48:57,146 - INFO - Item 8: 3,000.00 VNĐ
2025-08-21 11:48:57,146 - INFO - Item 9: 3,000.00 VNĐ
2025-08-21 11:48:57,147 - INFO - Item 10: 3,000.00 VNĐ
2025-08-21 11:48:57,147 - INFO - Item 11: 3,900.00 VNĐ
2025-08-21 11:48:57,147 - INFO - Item 12: 3,900.00 VNĐ
2025-08-21 11:48:57,147 - INFO - Item 12: 3,000.00 VNĐ
2025-08-21 11:48:57,147 - INFO - Item 12: 5,400.00 VNĐ
2025-08-21 11:48:57,147 - INFO - Item 13: 2,400.00 VNĐ
2025-08-21 11:48:57,147 - INFO - Item 13: 3,000.00 VNĐ
2025-08-21 11:48:57,147 - INFO - Item 13: 5,400.00 VNĐ
2025-08-21 11:48:57,147 - INFO - Item 14: 3,900.00 VNĐ
2025-08-21 11:48:57,147 - INFO - Item 14: 3,000.00 VNĐ
2025-08-21 11:48:57,147 - INFO - Item 15: 2,400.00 VNĐ
2025-08-21 11:48:57,147 - INFO - Item 15: 3,900.00 VNĐ
2025-08-21 11:48:57,148 - INFO - Item 15: 5,400.00 VNĐ
2025-08-21 11:48:57,148 - INFO - Item 16: 2,400.00 VNĐ
2025-08-21 11:48:57,148 - INFO - Item 16: 3,000.00 VNĐ
2025-08-21 11:48:57,148 - INFO - Item 16: 3,000.00 VNĐ
2025-08-21 11:48:57,148 - INFO - Item 17: 2,400.00 VNĐ
2025-08-21 11:48:57,148 - INFO - Item 18: 3,900.00 VNĐ
2025-08-21 11:48:57,148 - INFO - Item 19: 3,900.00 VNĐ
2025-08-21 11:48:57,148 - INFO - Item 20: 3,900.00 VNĐ
2025-08-21 11:48:57,148 - INFO - Item 20: 5,400.00 VNĐ
2025-08-21 11:48:57,148 - INFO - Item 20: 3,000.00 VNĐ
2025-08-21 11:48:57,148 - INFO - Item 21: 2,400.00 VNĐ
2025-08-21 11:48:57,149 - INFO - Item 21: 5,400.00 VNĐ
2025-08-21 11:48:57,149 - INFO - Item 21: 5,400.00 VNĐ
2025-08-21 11:48:57,149 - INFO - Item 22: 3,900.00 VNĐ
2025-08-21 11:48:57,149 - INFO - Item 23: 3,900.00 VNĐ
2025-08-21 11:48:57,149 - INFO - Item 24: 3,000.00 VNĐ
2025-08-21 11:48:57,149 - INFO - Item 25: 3,000.00 VNĐ
2025-08-21 11:48:57,150 - INFO - Item 26: 3,000.00 VNĐ
2025-08-21 11:48:57,150 - INFO - Item 27: 2,400.00 VNĐ
2025-08-21 11:48:57,150 - INFO - Item 28: 2,400.00 VNĐ
2025-08-21 11:48:57,150 - INFO - Item 28: 3,000.00 VNĐ
2025-08-21 11:48:57,150 - INFO - Item 28: 3,000.00 VNĐ
2025-08-21 11:48:57,150 - INFO - Item 29: 2,400.00 VNĐ
2025-08-21 11:48:57,150 - INFO - Item 29: 5,400.00 VNĐ
2025-08-21 11:48:57,150 - INFO - Item 30: 2,400.00 VNĐ
2025-08-21 11:48:57,150 - INFO - Item 31: 2,400.00 VNĐ
2025-08-21 11:48:57,150 - INFO - Item 32: 3,000.00 VNĐ
2025-08-21 11:48:57,150 - INFO - Item 32: 3,000.00 VNĐ
2025-08-21 11:48:57,151 - INFO - Item 32: 5,400.00 VNĐ
2025-08-21 11:48:57,151 - INFO - Item 33: 3,000.00 VNĐ
2025-08-21 11:48:57,151 - INFO - Item 33: 5,400.00 VNĐ
2025-08-21 11:48:57,151 - INFO - Item 34: 3,000.00 VNĐ
2025-08-21 11:48:57,151 - INFO - Item 34: 3,000.00 VNĐ
2025-08-21 11:48:57,151 - INFO - Item 34: 5,400.00 VNĐ
2025-08-21 11:48:57,151 - INFO - Item 35: 3,000.00 VNĐ
